"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL48029";"";"None";"304.39";"0";"4.32";"11";"c1ccc(COc2ccc(CCNc3ccncc3)cc2)cc1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"22.62";"0.41";"2.57";"20.16";"0";"CHEMBL856827";"Displacement of [35S]MK-499 from hERG potassium channel expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141373";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";"";"";"130.0"
"CHEMBL2158563";"";"None";"507.45";"1";"4.36";"33";"CCN(CC)CCOc1cc(-c2nc(SCC(=O)NC)nc3[nH]cc(C#N)c23)c(Cl)cc1Cl";"IC50";"'='";"3140.0";"nM";"5.50";"";"";"UO_0000065";"10.84";"0.23";"1.14";"5.15";"0";"CHEMBL2162322";"Displacement of [3H]-dofetilide from human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2157917";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"3.14"
"CHEMBL4102140";"";"None";"377.35";"0";"2.43";"17";"N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(OC(F)F)cc2)n1";"IC50";"'='";"25000.0";"nM";"4.60";"";"";"UO_0000065";"12.20";"0.23";"2.17";"4.00";"0";"CHEMBL4033008";"Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028908";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";"25000.0"
"CHEMBL4096821";"";"None";"378.40";"0";"1.41";"19";"N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(-n3ccnn3)cc2)n1";"IC50";"'='";"13200.0";"nM";"4.88";"";"";"UO_0000065";"12.89";"0.24";"3.47";"3.57";"0";"CHEMBL4033008";"Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028908";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";"13200.0"
"CHEMBL1771096";"";"None";"377.50";"0";"2.89";"36";"Cc1cnc(N2CCC(C3CCN(c4cc(C)nc(C#N)n4)CC3)CC2)cn1";"IC50";"'='";"10600.0";"nM";"4.97";"";"";"UO_0000065";"13.18";"0.24";"2.08";"6.08";"0";"CHEMBL1771845";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1770133";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"10600.0"
"CHEMBL487273";"";"None";"344.44";"0";"2.39";"3";"NC(=O)Nc1sc(-c2ccccc2)cc1C(=O)N[C@H]1CCCNC1";"IC50";"'>'";"31600.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL4037438";"Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033783";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"31.6"
"CHEMBL5992117";"";"None";"349.47";"0";"4.24";"BDBM388555";"CN(C)C[C@H](c1ccc2ccccc2c1)[C@H](OCCO)c1ccccc1";"IC50";"'='";"6600.0";"nM";"5.18";"";"776468";"UO_0000065";"14.82";"0.27";"0.94";"15.84";"0";"CHEMBL5733769";"Activity Assay: HERG: The pre- and post-compound hERG current was evoked by a single voltage pulse consisting of a 20 s period holding at −70 mV, a 160 ms step to −60 mV (to obtain an estimate of leak), a 100 ms step back to −70 mV, a 1 s step to +40 mV, a 2 s step to −30 mV, and finally a 500 ms step to −70 mV. In between the pre- and post-compound voltage pulses, there was no clamping of the membrane potential. Currents were leak-subtracted based on the estimate of current evoked during the +10 mV step at the start of the voltage pulse protocol. The current signal was sampled at 2.5 k Hz. For each compound, the IC50 value was determined.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"6600.0"
"CHEMBL5998115";"";"None";"269.39";"0";"3.19";"BDBM388532";"CNCC(CCc1ccccc1)[C@H](O)c1ccccc1";"IC50";"'='";"15000.0";"nM";"4.82";"";"776349";"UO_0000065";"17.91";"0.33";"1.63";"14.95";"0";"CHEMBL5733769";"Activity Assay: HERG: The pre- and post-compound hERG current was evoked by a single voltage pulse consisting of a 20 s period holding at −70 mV, a 160 ms step to −60 mV (to obtain an estimate of leak), a 100 ms step back to −70 mV, a 1 s step to +40 mV, a 2 s step to −30 mV, and finally a 500 ms step to −70 mV. In between the pre- and post-compound voltage pulses, there was no clamping of the membrane potential. Currents were leak-subtracted based on the estimate of current evoked during the +10 mV step at the start of the voltage pulse protocol. The current signal was sampled at 2.5 k Hz. For each compound, the IC50 value was determined.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"15000.0"
"CHEMBL27759";"ENTINOSTAT";"3.0";"376.42";"0";"3.34";"3, SNDX-275";"Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1810945";"Inhibition of human ERG by automated patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"30.0"
"CHEMBL1808624";"";"None";"322.36";"0";"2.29";"15h";"O=C(/C=C/c1ccc2c(c1)CN(C(=O)Cc1ccccc1)C2)NO";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1810945";"Inhibition of human ERG by automated patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"30.0"
