SMILES_Solute,Temperature_K,Solvent,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),LogS(mol/L),Compound_Name,CAS,PubChem_CID,FDA_Approved,Source
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,311.25,ethanol,CCO,0.0006,0.0100827943457764,-1.9964190908298327,Ethylene glycol monoeicosate,26158-80-5,538813,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,314.65,ethanol,CCO,0.0012,0.0201002202269447,-1.6967991842301131,Ethylene glycol monoeicosate,26158-80-5,538813,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,319.15,ethanol,CCO,0.002,0.033356167080529,-1.4768238594555132,Ethylene glycol monoeicosate,26158-80-5,538813,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,322.15,ethanol,CCO,0.005,0.0833558965853702,-1.0790636728136729,Ethylene glycol monoeicosate,26158-80-5,538813,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,324.15,ethanol,CCO,0.0139,0.2332861125475602,-0.6321111138572452,Ethylene glycol monoeicosate,26158-80-5,538813,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,296.35,ethanol,CCO,0.0001,0.0017078905304198,-2.767539969453911,Ethylene glycol monobehenate,109376-47-8,18769590,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,302.05,ethanol,CCO,0.0002,0.0033944948796854,-2.4692248420863785,Ethylene glycol monobehenate,109376-47-8,18769590,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,305.35,ethanol,CCO,0.0003,0.0050734677069868,-2.294695099598497,Ethylene glycol monobehenate,109376-47-8,18769590,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,311.65,ethanol,CCO,0.0007,0.0117591224641705,-1.929625086694265,Ethylene glycol monobehenate,109376-47-8,18769590,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,313.05,ethanol,CCO,0.0009,0.0150979770486418,-1.821081239161633,Ethylene glycol monobehenate,109376-47-8,18769590,No,10.1007/bf00649573
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,322.45,ethanol,CCO,0.0131,0.2201093754487493,-0.6573614584964483,Ethylene glycol monobehenate,109376-47-8,18769590,No,10.1007/bf00649573
O=[N+]([O-])c1cccc2ccccc12,298.15,ethanol,CCO,0.02773,0.4862523174295823,-0.3131383158575335,1-nitronaphthalene,86-57-7,6849,No,10.1007/s10953-005-7691-2
CC(=O)Nc1ccc(O)cc1,293.15,ethanol,CCO,0.05045,0.9105717764091924,-0.0406858149763315,Paracetamol,103-90-2,1983,Yes,10.1007/s10953-005-9007-8
CC(=O)Nc1ccc(O)cc1,298.15,ethanol,CCO,0.0546,0.9846360783233497,-0.0067242551672805,Paracetamol,103-90-2,1983,Yes,10.1007/s10953-005-9007-8
CC(=O)Nc1ccc(O)cc1,303.15,ethanol,CCO,0.062,1.1204061618705714,0.0493754886369184,Paracetamol,103-90-2,1983,Yes,10.1007/s10953-005-9007-8
CC(=O)Nc1ccc(O)cc1,308.15,ethanol,CCO,0.067,1.2102355344377531,0.0828699003594825,Paracetamol,103-90-2,1983,Yes,10.1007/s10953-005-9007-8
CC(=O)Nc1ccc(O)cc1,313.15,ethanol,CCO,0.0705,1.2712822620035378,0.1042419873918237,Paracetamol,103-90-2,1983,Yes,10.1007/s10953-005-9007-8
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,293.15,ethanol,CCO,0.0134946,0.2344398320827542,-0.629968598353204,"1,3,3-trinitroazetidine",97645-24-4,9794126,No,10.1007/s10953-011-9673-7
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,298.15,ethanol,CCO,0.0153957,0.2665854312990809,-0.5741635881528437,"1,3,3-trinitroazetidine",97645-24-4,9794126,No,10.1007/s10953-011-9673-7
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,303.15,ethanol,CCO,0.0168647,0.2907715875705873,-0.5364480323527364,"1,3,3-trinitroazetidine",97645-24-4,9794126,No,10.1007/s10953-011-9673-7
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,313.15,ethanol,CCO,0.0252445,0.4340835653483638,-0.3624266564871015,"1,3,3-trinitroazetidine",97645-24-4,9794126,No,10.1007/s10953-011-9673-7
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,323.15,ethanol,CCO,0.0393555,0.6786913437811469,-0.1683276898862639,"1,3,3-trinitroazetidine",97645-24-4,9794126,No,10.1007/s10953-011-9673-7
